127.0.0.1 - - [14/Nov/2019:03:14:06 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/css/custom.css HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:07 +0900] "GET /Project/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/index.jsp HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/css/custom.css HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /Project/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:38 +0900] "GET /Project/index.jsp HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:38 +0900] "GET /Project/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:40 +0900] "GET /Project/index.jsp HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:40 +0900] "GET /Project/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [14/Nov/2019:03:14:41 +0900] "GET /Project/index.jsp HTTP/1.1" 200 2371
